,title,content,category
83,Michigan warns about mosquito-borne virus after 3 deaths,"Public health officials are urging people to guard against mosquito bites after more cases of a rare mosquito-borne virus, including two additional deaths in southwestern Michigan.  The Michigan Department of Health and Human Services issued an update Tuesday on Eastern equine encephalitis, saying there were deaths in Cass and Van Buren counties. Those follow an earlier death in Kalamazoo County.    There also have been human cases in Barry and Berrien counties, and animal cases in St. Joseph, Genesee and Lapeer counties. In all, Michigan has had seven confirmed human cases and nine horse deaths.  The department is encouraging officials in affected counties to consider postponing, rescheduling or cancelling outdoor activities occurring at or after dusk, particularly activities that involve children, until there's a hard frost.   The virus is rare but dangerous, and symptoms include fever, chills and muscle and joint pain. It can cause inflammation and swelling in the brain.   According to the U.S. Centers for Disease Control and Prevention, 30 per cent of people infected with the virus die.   At least 20 cases have been reported in five states.",health
20,"Liberals pledge to boost Canada Child Benefit, extend leave for adoptive parents","The Liberals are promising a suite of family-friendly benefits, including a boost to the Canada Child Benefit (CCB) for babies and a 15-week leave program for adoptive parents.  Liberal Leader Justin Trudeau used a Tuesday morning campaign appearance in St. John's to announce the proposed measures, which include making parental benefits tax-free.  Calling it a ""big step forward,"" Trudeau pledged that a re-elected Liberal government would give families up to $1,000 more by increasing the CCB by 15 per cent for children under the age of one. The CCB was introduced in 2016 and the Liberals have credited it with lifting 300,000 children out of poverty.  ""No one should have to choose between their paycheque and their family, a choice that moms are still confronted with more than dads,"" Trudeau said. ""People should be focused on spending time with their baby, not worried about how they'll pay their bills.""    The Liberal proposal to make maternity and parental benefits tax-exempt at source means no federal taxes would be taken off the Employment Insurance payment, Trudeau said. It goes one step further than the Conservative Party proposal to bring in a non-refundable tax credit for maternity or parental benefits.   ""You'll get every dollar right when you need it, since no taxes will be taken off the EI cheque when new parents receive it,"" Trudeau said.    The proposed new 15-week leave for adoptive parents would give them the same benefits as those who have a baby through natural birth. That would mean an extra $7,000 in help for the average family claiming the new adoptive leave, according to the Liberal Party documents.  Trudeau said these measures lay the groundwork to ""go even further.""  A re-elected Liberal government also would work with the provinces and territories to establish Guaranteed Paid Family Leave for parents who don't qualify for paid leave through EI during the first year of their child's life. The party's proposal calls for the program to launch in 2021.  'Ambitious program'  ""This will be an ambitious program to make sure that no one gets left behind,"" Trudeau said.  Lindsay Tedds, an economics professor at the University of Calgary, said she's awaiting finer details on how the tax measures would be implemented in order to fully assess both proposals. She said one advantage of the Liberal plan over the Conservative one is that claimants won't have to worry about the tax liability.  ""A lot of women who work earn a lot of income before they go on maternity benefits, and they actually pay a higher tax rate on that income than 15 per cent,"" she said. ""So the Conservatives haven't accounted for that, whereas the Liberals are accounting for that ... The Liberals can actually tout this as tax-free maternity and parental benefits. The Conservatives can't.""  According to Liberal Party calculations, the proposed measures would cost about $800 million in 2020-21, rising to $1.2 billion in 2023-24. Costing analysis from the parliamentary budget officer (PBO) has not yet been released.  Asked why none of the Liberal campaign commitments so far have come with PBO costing, Trudeau said the PBO has been ""very much engaged"" with the Liberal Party on its platform.  ""We will have a full costing of the Liberal platform with all the great work done by the PBO in due course. That is something people expect and people want to have,"" he said.",business
27,Hundreds join student's climate-change pledge: No kids until Canada takes action,"An 18-year-old McGill University student pledges to not have children until she is sure the Canadian government is taking serious steps to battle climate change.  And hundreds more are following in her footsteps.  ""Our government isn't doing enough,"" Emma Lim said on CBC Montreal's Daybreak Tuesday.  The steps provincial and federal lawmakers are taking are ""nowhere near the action needed,"" she said.  The young climate activist decided to take action of her own — launching a climate-change movement dubbed, ""#No Future, No Children,"" that is quickly gathering steam.   Her campaign, which invites all Canadians to participate, officially kicked off Monday on Parliament Hill.   As of Tuesday morning, more than 300 people have signed her online pledge, which states: ""I pledge to not have children until I am sure my government will ensure a safe future for them.""  Having kids is something Lim has always thought was in her future, but she wants a future where, every fall, she can watch the leaves change colour.  She wants to go sledding with her kids in the winter and swimming in the ocean in the summer.  ""I am giving up my chance of having a family because I will only have children if I know I can keep them safe,"" she writes on her website.   ""It breaks my heart, but I created this pledge because I know I am not alone.""    She wants her children to breathe clean air and live a life in economic security — not the possible insecurity wrought by climate change, she said.  Lim said she comes from a family of Holocaust survivors who have experienced first-hand the impact mass migration can have on people's lives.  Mass migration caused by a global climate crisis could be many times what her family experienced and just the idea that her children may have to ""again face the very worst of humanity terrifies me,"" she said.    Dreams of motherhood  Lim grew up in London, Ont., and she has wanted to be a mom for as long as she can remember. She still has a list of baby names on her computer, she said.  Listen to Emma Lim's interview on Daybreak here:   Giving up that dream is not easy, she said, and she worries that, despite her best efforts, nothing will change.  The patriotism she felt as a child — the belief that her government can do anything — is fading, she said.  ""It's clear that our leaders aren't taking this seriously and this is a serious issue,"" she said, citing the federal government's approval of the Trans Mountain pipeline expansion on the heels of proclaiming a climate crisis.    As it is, Canada is not on track to meeting the Paris Agreement goals, she said. Were the country to take the necessary steps to meet those goals, she said she may one day consider having kids, but everyone who pledges has a different objective.  Her aim is to look to the future with hope instead of fear, she said.    Waiting until the government takes action before having kids is an ""alien concept"" for her parents and grandparents, Lim said, but she's getting support back home.  Mother supports daughter  Lim's mother, Catherine Cartman, went to Ottawa to support her daughter.  ""It's a parent's role to support their children,"" she said, and she hopes it will inspire change.     Cartman, a mother of three, said she wants Lim and ""youth everywhere to feel safe to have children.""  While she would like Lim to have children someday, she said, were the world to fall into complete disarray because of a climate crisis, ""who can blame her for not having children? ""  ""It would be selfish on my part to encourage her to have children under those circumstances.""",technology
96,"Purdue Pharma, maker of OxyContin, files for bankruptcy as part of settlement ","Purdue Pharma, the company that made billions selling the prescription painkiller OxyContin, filed for bankruptcy in White Plains, N.Y., days after reaching a tentative settlement with many of the state and local governments suing it over the toll of opioids.  The filing was anticipated before and after the tentative deal, which could be worth up to $12 billion US over time, was struck.  ""This settlement framework avoids wasting hundreds of millions of dollars and years on protracted litigation,"" Steve Miller, chairman of Purdue's board of directors, said in a statement, ""and instead will provide billions of dollars and critical resources to communities across the country trying to cope with the opioid crisis. We will continue to work with state attorneys general and other plaintiff representatives to finalize and implement this agreement as quickly as possible.""  But legal battles still lie ahead for Stamford, Conn.-based Purdue, which is spending millions on legal costs as it defends itself in lawsuits from 2,600 government and other entities. About half the states have not signed onto the proposal. And several of them plan to object to the settlement in bankruptcy court and to continue litigation in other courts against members of the Sackler family, which owns the company. The family agreed to pay at least $3 billion in the settlement plus contribute the company itself, which is to be reformed with its future profits going to the company's creditors.  In a statement, the families of late company owners Mortimer and Raymond Sackler said they have ""deep compassion for the victims of the opioid crisis"" and believe the settlement framework ""is an historic step toward providing critical resources that address a tragic public health situation.""    Objections came over the amount of the deal, which some officials say will not reach close to the $12 billion mark, and because it means the company won't be found liable by a jury or judge.  Purdue chairman Miller said the company has not admitted wrongdoing and does not intend to. ""The alternative is to not settle but instead to resume the litigation,"" he said on a conference call with reporters. ""The resumption of litigation would rapidly diminish all the resources of the company and would be lose-lose-lose all the way around. Whatever people might wish for is not on the table now.""  Because so many states balked at the settlement, it could complicate the bankruptcy process. The Sackler family members said they're still trying to get more states to sign on.  ""We are hopeful that in time, those parties who are not yet supportive will ultimately shift their focus to the critical resources that the settlement provides to people and problems that need them,"" they said.    Key issues that could be decided include whether the suits against the Sacklers in state courts will be able to move ahead, and what will happen to the company itself. Under the tentative settlement deal, it would continue to operate, but with profits used to pay for the settlement. Another option could be for a judge to order it be sold.  Court filings assert that members of the Sackler family were paid more than $4 billion by Purdue from 2007 to 2018. Much of the family's fortune is believed to be held outside the U.S., which could complicate lawsuits against the family over opioids.  A court filing by the New York Attorney General's office on Friday contended that Sackler family members used Swiss and other hidden accounts to transfer $1 billion to themselves. The discovery of the transfers bolsters several states' claims that family members worked to shield its wealth because of the growing legal threats against them and Purdue.  The Sacklers have given money to cultural institutions around the world, including the Smithsonian Institution, New York City's Metropolitan Museum of Art and London's Tate Modern.",health
91,'Not one shred of scientific evidence': Critics say psych reports in custody cases can hurt kids,"When a Vancouver-area mother read a psychologist's recommendations for custody of her young daughter, she started hyperventilating at work.  Dr. Allan Posthuma was recommending the courts grant sole guardianship to her ex, a man with a previous conviction for domestic violence who'd had multiple run-ins with police.  ""I was frantic. I was scared that they were going to take her away. I was thinking about all the things that would have happened to her,"" the mother remembered in a recent interview. CBC is not naming her to protect the privacy of her daughter.  Investigators with the College of Psychologists of B.C. allege that Posthuma failed to properly consider documented issues with violence when he evaluated the family.   The allegation hasn't been proven, but some critics say this isn't an isolated problem. They argue that the court-ordered psychological assessments used in family legal disputes across North America are inherently flawed and can cause serious harm for children and families.    ""To the best of my knowledge, there is not one shred of scientific evidence that child custody evaluations benefit children, and most unfortunately there have been cases where the psychologists' recommendations to the court endorsed parents who later killed their own children,"" Florida psychologist Dr. Ira Turkat told CBC.  He made it clear that he could not comment on Posthuma's case, but Turkat has been arguing against the use of these evaluations for more than a decade. He outlined his case last year in a piece published in the American Journal of Family Law, pointing out instances in Virginia, Maryland and California where parents have killed their children after courts granted custody or visitation rights in response to psychologists' recommendations.  Child homicides are at the extreme end of potential consequences for a misguided psychological assessment, but critics in B.C. remain deeply concerned about the potential damages.  Family violence not fully addressed  Under the Family Law Act, these custody and access reports are known as Section 211 assessments. They're ordered by judges to help make decisions in contentious family disputes, and can be performed by independent psychologists like Posthuma or family justice counsellors employed by the province.  These assessments are currently under the microscope as part of a federal government-funded research project examining the legal system's response to family violence, according to Haley Hrymak, a research lawyer with Rise Women's Legal Centre.  She told CBC that many psychologists and counsellors don't fully consider the issue of domestic violence when they're making their recommendations. Sometimes, they don't ask any questions about whether anyone in the family has been violent, she said.    ""Obviously, the presence of family violence has a major impact on the best interests of the children, but our research suggests that it is not always being captured or addressed,"" Hrymak said.  Researchers from Rise and the Centre for Response-Based Practice have been poring over Section 211 reports and interviewing women who've been assessed.  Many of the women report that the psychologists and counsellors they've dealt with have been dismissive of their concerns about an ex-partner, even concluding they are not fit to have custody of their children.    ""These women are frequently sitting down with the report writer and they have genuine fears and concerns about their violent ex-spouse,"" Hrymak said.  ""But instead, the woman may be described as paranoid because of a multiple-choice questionnaire they filled out on a computer.""  The research has also raised concerns about the cost of Section 211 assessments, which can be as high as $20,000 or $30,000, Hrymak said. That total doesn't include the expense of undergoing any counselling or follow-up assessments recommended by a psychologist.    ""I've spoken with women who have spent over $100,000 simply on this piece of their litigation, and ultimately are in a financial crisis as a result of that,"" Hrymak said.  She wants to see changes in legislation to make sure discussions of family violence are included in all Section 211 reports, and and to require psychologists to complete training on the subject.  'Custody evaluations may be helpful'  These psychological assessments do have strong defenders.  Dr. Allan Posthuma is one, and he wrote a counterpoint to Turkat's arguments in a 2016 article in the publication Court Review.  Posthuma and his co-author Jonathan Gould agreed that more research is needed on the impact of psychological assessments on families, but said that doesn't necessarily mean they're harmful.    ""Since there is no empirical examination of the short- and long-term effects of expert opinions regarding custodial placement and decision making on judicial determinations, it is just as easy to argue that custody evaluations may be helpful,"" they wrote.  Posthuma's lawyer, Michael Schalke, told CBC that his client is satisfied with his record. He did not respond to a request for comment about suggestions that Section 211 assessments can be harmful.",health
108,Attack on Saudi oil facilities highlights danger of 'kamikaze' drones,"The recent attack on Saudi oil facilities has cast a spotlight on an increasingly used but often misunderstood piece of combat technology: ""kamikaze"" or ""suicide"" drones.  And the incident has brought into focus what one expert calls the ""eminent"" possibility of such devices one day being used to sow terror in major cities.  The strikes on the Saudi Aramco plants last Saturday involved some 20 drones and several cruise missiles, U.S. officials have reportedly said. Although drone attacks have been carried out before in the region, this effort significantly disrupted Saudi Arabia's oil capacity, marking an escalation in their scale of destruction.  Houthi rebels — aligned with Iran and battling the Saudi-led coalition in Yemen's civil war — quickly took responsibility for the strikes. U.S. officials blamed Iran, but Tehran rejected the claim.   On Wednesday, a Saudi defence ministry spokesperson identified the drones as Iranian delta-wing unmanned aerial vehicles, and presented at a news conference remnants of drones and missiles. But an adviser to Iran's president said the news conference ""proved that Saudi Arabia knows nothing about where the missiles and drones were made or launched from.""  While it's not entirely clear who's responsible, it is known that since 2018, the Houthis have obtained advanced drones capable of attacks beyond Yemen's borders, according to a UN Security Council report released last January.     Device 'shrouded in mystery'  Identifying the devices as UAV-X (unmanned aerial vehicle X), the report said they could fly 1,500 kilometres and travel at speeds of up to 250 kmu002Fh.  What's more, the device can carry a warhead made up of 18 kilograms of explosives and ball bearings, making it potentially more lethal than other Houthi-owned drones, the UN report warned.  Known broadly in the industry as ""loitering munitions"" for their common ability to stop mid-air and wait for a target, the category of devices is also referred to as kamikaze or suicide drones. They're normally destroyed themselves while mounting an attack.    As for the UAV-X, it can also be used in reconnaissance missions to gather intelligence at a distance. Among the debris of one such device, the UN's panel of experts found the lens from a Nikon D810, a widely-available, professional-grade digital camera.  Beyond that, the device is ""somewhat shrouded in mystery,"" said Arthur Holland Michel, co-director of the Center for the Study of the Drone at Bard College.    Despite the secrecy around the UAV-X, Holland Michel said, ""I wouldn't be surprised if something like the loitering munitions used by the Houthis did become somewhat widely accessible in three to five years.""  Military-grade drones, especially those deployed by the United States, have been best known for use in surveillance operations and targeted killings from thousands of kilometres away.  They bear almost no resemblance to the off-the-shelf devices available at stores. Instead, the UAV-X is shaped more like a jet with a wingspan of 4.5 metres — roughly the length of a sedan.  Hard to detect  Air defence systems often aren't calibrated to detect loitering munitions, which fly at lower altitudes and speeds than ballistic missiles and military aircraft. The result is the drones may only be spotted from a shorter distance, according to Justin Bronk, a research fellow at London's Royal United Services Institute (RUSI).  Bronk said anti-drone systems generally involve guns shooting down the devices. The systems aren't ideal; they run out of ammunition and can easily be overwhelmed by multiple incoming targets at once.    ""There is no perfect answer,"" he said.  Much of the damage caused in last weekend's attack may be due to the use of missiles, rather than drones. Loitering munitions still can't handle the same size of weaponry as larger missiles.  But the number of devices deployed appears to underscore the difficulty in defending against such a co-ordinated operation.   ""The co-ordination of those [drones] would not be entirely simple,"" said Craig Martin, a professor at the Washburn University School of Law. But compared to other weapon systems, ""they're relatively cheap.""  Martin wrote an essay about Canada's planned acquisition of armed drones. (The Royal Canadian Air Force hopes to purchase armed drones for domestic and overseas use within six years, The Canadian Press reported in February.)    In a telephone interview, Martin estimated the drone attack in Saudi Arabia would have cost ""tens to hundreds of thousands of dollars."" He said that's much less than Riyadh's $1 million US or more spent to deploy a single Patriot surface-to-air missile as a means of defending against Houthi threats.  RUSI's Bronk said, ""The price of entry"" isn't very high. And ""it does potentially give small groups or countries long range, fairly accurate, precision strike capabilities.""  He said the use of loitering munitions isn't new, but their prices have dropped and freely-available GPS data has made them easier to program for use on a specific target. A quick search on Google Maps, for instance, reveals the exact location of Saudi oil facilities.  The drones deployed last Saturday are believed to have been GPS-programmed to hit those exact spots.    'Threat' from consumer-grade drones  Off-the-shelf drones aren't made to carry weapons, but videos shared online appear to show ISIS using such commercial devices to drop grenades in Iraq and Syria.  Speaking to a U.S. Senate panel last year, FBI Director Christopher Wray called the use of civilian drones by criminal groups ""a steadily escalating threat.""  Holland Michel, at the Center for the Study of the Drone, said an attack in a big city involving grenades strapped to drones ""is eminently possible today."" Citing the example of an armed drone flying over a crowded stadium, he called the potential ""very worrying.""    Many countries and major cities, however, have adopted a patchwork of laws banning drones from public areas. And Holland Michel said if a criminal group were to acquire the weapons needed for such an attack, it would raise a red flag among security services.  ""We don't want people thinking this kind of Houthi drone attack is possible tomorrow in Toronto.""",technology
98,"Incredibly rare, centuries-old book on insects returns to Newfoundland","It hasn't been seen in Newfoundland since 1835.  Full of exquisite illustrations by a visiting amateur naturalist, Entomologia Terrae Novae was Phillip Henry Gosse's attempt to chronicle the insect life of Newfoundland.   ""He came from England to Carbonear when he was 17. He came here to be a clerk and while he was here, he created this beautiful book,"" said Elizabeth Smith, acquisitions and cataloging officer with the Canadian Museum of Nature in Ottawa.  The book is the first known attempt to classify bug life in the province, and was flown into St. John's for public viewing this week from its usual spot in Ottawa. Featuring more than 250 paintings, the piece is on display at the Centre for Newfoundland Studies.  The rare object cannot be touched by the public, and special gloves have to be  worn to handle it; it was a stressful ordeal for Smith to even transport it to Newfoundland on an airplane.     Gosse wasn't a formally trained illustrator, but his artwork is impressive nonetheless.  ""His father was a miniature portrait artist, based on the research I did about him. It was his aunt who was responsible for teaching him how to draw,"" said Smith.      When you look at it live with your own eyes… it looks real.  - Elizabeth Smith     ""When you look at it live with your own eyes … it looks real, it's in 3D. The texture, the butterflies look velvety. And it's absolutely exquisite,"" said Smith.  The dates assigned to the drawings vary throughout the book, revealing that Gosse was simply jotting down pictures of fauna as he came across them during his stay. Carrying the journal with him as he travelled, he would document whichever creature caught his eye.    Like a hiker visiting Newfoundland today, Gosse was simply marvelling at the nature he encountered and attempting to memorialize it, just as a tourist would use a cellphone to take pictures during a trip.  Gosse didn't stick around Newfoundland forever, though. When he left, his work did as well.    ""I think from what we know the book went on and was kept with family for a while until it was passed along from Philip Henry Gosse to his son Edmund Gosse, and Edmund Gosse passed it along to his son Philip. And from there it it remained in the family for a while until it was donated to the museum in the 1950s,"" Smith told CBC Radio's On the Go.  Gosse's work didn't end with his trip to the Rock.  ""He moves on to Quebec and Alabama … and he moves on to explore other life forms — in fact, some of which he was more famous for. It is said that he invented the word 'aquarium,'"" said Smith.  ""Interestingly, in this book the very last page is a sketch of dolphins.… It almost teases you into the next chapter of his of his profession, of his life.""  You can see that dolphin illustration for yourself Friday at the Centre for Newfoundland Studies in Memorial University.  You aren't allowed to touch it, though.  Read more from CBC Newfoundland and Labrador",technology
143,Untested legal options could give feds ways to intervene on Bill 21,"National party leaders' reluctance to intervene in a court challenge to Quebec's controversial Bill 21 may have left the erroneous impression that there's nothing the federal government can do to try to stop the law that bans teachers, police and certain other public servants from wearing religious symbols at work.  The Quebec government has, after all, invoked the Constitution's notwithstanding clause to prevent its secularism law from being struck down as a violation of the Charter of Rights and Freedoms.  But while use of the notwithstanding clause makes a court challenge more difficult, constitutional experts say it does not necessarily provide a blanket shield against charter challenges, nor does it prevent the federal government from pursuing other legal avenues.    ""There are legal bases for challenging the law that are not touched by the notwithstanding clause at all,"" says Robert Leckey, dean of law at McGill University.  Liberal Leader Justin Trudeau is the only national leader to leave the door open to a possible intervention by the federal government some day, although he says it would be ""counterproductive"" to do so now when a challenge by two civil rights groups is before Quebec's Superior Court.  Other than Trudeau, federal leaders seem happy to heed Quebec Premier Francois Legault's admonition to butt out.  All about jurisdiction  The Conservatives' Andrew Scheer, the NDP's Jagmeet Singh and the Greens' Elizabeth May have said they would not intervene to challenge the law, which they've nevertheless deplored. People's Party Leader Maxime Bernier has chided his fellow federal leaders for even talking about something he deems to be entirely Quebec's business.  All the tip-toeing around Bill 21 is no doubt primarily a reflection of the fact that Bill 21 is overwhelmingly popular in Quebec, a province that will be pivotal to the outcome of the Oct. 21 federal election.  But it may also reflect the fact that the legal options available after Quebec's use of the notwithstanding clause are untested. As the only federal leader who hasn't slammed the door on intervening, Trudeau may want to see how some of the arguments fare in court before deciding whether to take the plunge.  ""Unless you can persuade courts to breach new legal ground, there really isn't an obvious resolution,"" says University of Ottawa law professor Carissima Mathen.  ""There are some new arguments that have been raised by some scholars but it would be unprecedented so the court would have to be persuaded. I think people agree it would be an uphill climb.""    Still, Leckey says the courts have in the past found creative ways to address laws that judges have deemed ""deeply unjust.""  ""I think we'll see people trying arguments that have not been used because they've not been needed before,"" he adds.  Section 33 of the charter provides that a legislature may declare that a law will operate notwithstanding certain rights and freedoms otherwise guaranteed in the Charter of Rights.  One argument now being advanced is based on the fact that the clause applies only to some sections of the charter. Important ones, sections that cover fundamental freedoms, including the freedom of religion, legal rights and equality rights, but not the entire thing.  The notwithstanding clause cannot be used to shield a law from other provisions of the charter, such as Section 28, which specifies that the rights and freedoms referred to in the charter are ""guaranteed equally to male and female persons.""  Varying opinions on charter sections  Because the secularism law affects Muslim women disproportionately, forbidding practically any distinctive clothing such as hijabs, Leckey says the courts might be persuaded that it violates Section 28.  Mathen believes that ""would be a tough sell"" because Section 28 has generally been seen as an interpretive guide to the charter, not as conferring a stand-alone right.  Another argument revives Supreme Court rulings from the middle of the 20th century, in which the top court ruled that provincial laws limiting religious freedom were a matter of criminal law and, as such, could only be enacted by the federal government.  However, Mathen notes those rulings were made before the charter was enshrined in the Constitution in 1982. She doubts the courts would consider resurrecting them now.  Other arguments being advanced revolve around two unwritten principles that underlie the Constitution — the rule of law and protection of minority rights, both of which, Leckey notes, were specifically recognized by the Supreme Court in the 1998 reference on the legality of Quebec secession.    Leckey also argues that even if the notwithstanding clause ultimately prevents the court from striking down Bill 21, the wording of the clause doesn't preclude the court from issuing a judgment on the law. A damning ruling could have an impact on public opinion and dissuade the Quebec government from renewing its use of the notwithstanding clause in five years, as required by the Constitution.  Then there's the nuclear option: the federal government could use its constitutional power of disallowance to invalidate the law, a power that hasn't been used in 75 years. At Confederation, the federal cabinet was given the authority to invalidate provincial laws, typically when they were against the national interest in some way or stepped on federal jurisdiction.  The power was once used fairly freely but the last time was in 1943, on an Alberta law that forbade land sales to Hutterites and ""enemy aliens"" in the Second World War.  Mathen says that would be ""beyond the pale"" and would likely ""provoke a crisis in terms of federal-provincial relations; not just Quebec would object to that.""",politics
52,Do parties even have to put out a platform? Your election questions as Week 2 begins,"We've been hearing from voters across the country and expats around the world curious about all aspects of the upcoming federal election.   As leaders criss-cross the country, curiosity has been piqued. Here's what you were asking as the campaign entered its second week.  Do parties even have to put out a platform?  Technically no — though it's traditional for parties to put out some form of reading material. The NDP got their platform document out first, while the Greens and the Bloc just released theirs this week. We're still waiting on full releases from the Liberals, the Conservatives and the People's Party — they promise they will come in the next few weeks.  So what's the holdup? Alex Marland, a political science professor at Memorial University, said these documents take a long time to put together. He thinks the incumbent government could be at a disadvantage.  ""When you are in government, you're sticking around, doing more of the same,"" he said. So a platform can become a regurgitation of what you've already done or promised rather than specific new policy.  Former NDP Leader Jack Layton famously grilled then prime minister Stephen Harper during a 2008 election debate asking ""Where's your platform? Under the sweater?""    This is also the first year the Parliamentary Budget Officer is costing out party promises. Some parties are making use of that service in tandem with announcing policy, yet another step to take before going public.     Everyone might not have a full platform yet but we've still compared what's available    Who is allowed to use the term re-elect on campaign signs?   We've been flagged multiple times to Conservative candidate Stephen Woodworth's signs in Kitchener Centre. They've got ""re-elect"" on them. Woodworth was MP in the riding for seven years. The only problem is he's not the incumbent.  While some consider this misleading, what's on the sign does not fall under Elections Canada's purview. The Elections Act ""does not regulate the content of campaign signs"" in most circumstances. When we inquired, Elections Canada instead referred us to ""the candidates and political parties.""  In Woodworth's words: ""It would be underestimating the intelligence of the electorate to suggest that anyone believes that I'm the incumbent. People are better informed than that.""  There is some level of oversight from the Commissioner of Canada Elections, who deals with election sign complaints. If you have a problem with a sign, you can complain to the commissioner's office, which will look into each complaint on a case-by-case basis and see if it contravenes the Elections Act. That includes advertisements with certain types of false statements. Penalties can include fines or even charges.  The office would not comment on ""the legality of a specific issue."" ""We tend not to be looking at the content per se unless it meets specific criteria,"" said Michelle Laliberté, a spokesperson for the Commissioner's office.    I live in an apartmentu002Fcondo. Can I put up a lawn sign?  Yes — though you may not have a lawn, you still can put up a lawn sign.  If you're leasing, your property owners or the corporation can't prevent you from putting a sign up in your apartment or condo. Same rules apply if you own the unit.  However, there can be restrictions around how big the signs can be and whether they are allowed in common areas — so keep that in mind when you're picking a place for your sign.  How do I vote if I'm not at home during the voting period?   It's the most common question we've gotten since the election was called — we've heard stories about those who will be out of riding, out of province, even those temporarily living in places like the U.S. and Ukraine (shout out to the parents getting details for their travelling children!).  How you vote all depends on where you will be throughout the election period. If you are around through Oct. 15, you can go and vote for your riding at any Elections Canada office. Or you can vote in the advanced polls Oct. 11 through 14.  If you aren't around for any of that, you can vote by mail, which you can apply to do right now. If you're away, just make sure to give an address you know you'll be at so you can receive your voting kit.     Get more answers to questions about how to vote in our Voter Guide      Can you vote if you're on house arrest?  Yes, but how you do it depends on the conditions of your house arrest.  For those who are allowed to leave the house, you can vote during advance polling, on election day or at any Elections Canada office before Oct. 15. But if you're not allowed to leave home, you'll have to vote by mail. You can sign up to get a ballot kit sent to you now.  How do I vote none of the above if I don't trust any of the candidates?  You can't. None of the above isn't an option federally. There is no process for protesting or refusing a ballot in federal elections, like there is in some provincial and territorial elections.  If you go behind the voter screen and vote for no one or write none of the above on your ballot, your vote will be counted as a rejected ballot. Same deal if you refuse to go into a polling booth and hand back an unmarked ballot immediately.  These rejected ballots are included in the final vote count; there were 120,515 rejected nationally in 2015. However, they can't be considered votes for no one because many types of ballots are counted as rejected, including ones with multiple votes and ones that are improperly marked.  So, by percentage, which province has the most rejected ballots?  That would be Quebec — no other province or territory even comes close. More than 1.4 per cent of Quebecers had their ballots rejected in the 2015 election, equivalent to 62,271 votes.   In some ridings, the numbers were even higher. The Bloc Quebecois-held constituency of Montcalm was not only the Quebec riding with the highest percentage of rejected, it also had the highest percentage countrywide.  Almost 2.3 per cent of all votes, 1,226 of them, were rejected there.  And in case you want more:     Why isn't CBC News calling Justin Trudeau prime minister? Your Week 1 election questions      Each week until election day, we'll be rounding up your questions and answering the most common in articles like the one you just read. If you've got a questions, send Haydn an email at haydn.watters@cbc.ca. He'll try his very best to get you an answer — or include it in a future article. Be patient. He's currently swimming in questions.",politics
124,Liberals to re-record French version of campaign theme song after hitting sour note,"Are the Liberals removing one hand for tomorrow?   That's what some say the new French-language version of the federal party's theme song implies.  The English version of One Hand Up, recorded by The Strumbellas, goes, ""We can hold one hand up for tomorrow. We can hold one hand up to the stars.""  In French, the same line translates as: ""On lève une main haute pour demain. On lève une main haute aux étoiles.""  But instead of ""on lève,"" which means ""we raise,"" some say they hear ""enlève,"" which means to remove.  While that misunderstanding may boil down to mispronunciation, other parts of the song make little sense in French, critics say.  ""Google Translate does not sing,"" one Twitter user, Lyne Labrèche, wrote to Liberal Leader Justin Trudeau on Sunday.  ""I repeat, Google Translate does not sing.""  The criticism appears to have had an effect. The Liberals said early Monday they are planning to record a new version of the song.  The song first appeared in English on the Ontario band's Rattlesnake album released earlier this year.  The French version of the song, posted in a short video clip to social media by the Liberals, has been viewed more than 100,000 times since it was released Sunday morning.    The Liberals say it was translated by the band for the campaign.  MNA Gaétan Barrette, a member of the Quebec Liberal Party, slammed the song on Twitter.  ""I listened to it a dozen times and I have not yet understood all the lyrics,"" he wrote, calling it a ""very bad French translation that is very, very, very embarrassing.""",entertainment
